Age,Income,Clicks,Click Time,Conversion Rate,CTR,Click Hour,Click Day,Gender_Male,Gender_Other,Location_Suburban,Location_Urban,Ad Type_Native,Ad Type_Text,Ad Type_Video,Ad Topic_Finance,Ad Topic_Food,Ad Topic_Health,Ad Topic_Technology,Ad Topic_Travel,Ad Placement_Social Media,Ad Placement_Website
61,35717.43,3,2024-01-18 20:45:56.898459,0.0981,0.0737,20,3,True,False,False,True,False,False,False,False,False,False,False,True,True,False
41,47453.25,5,2023-04-24 20:45:56.898459,0.0937,0.0592,20,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False
49,68126.35,4,2024-02-24 20:45:56.898459,0.1912,0.0563,20,5,False,False,False,False,False,True,False,False,True,False,False,False,True,False
68,64585.73,6,2023-12-13 20:45:56.898459,0.1122,0.0232,20,2,False,False,True,False,False,True,False,False,False,True,False,False,False,True
63,21109.4,5,2023-07-02 20:45:56.898459,0.1426,0.0539,20,6,True,False,False,True,True,False,False,False,False,False,False,False,False,False
20,39576.44,5,2024-02-19 20:45:56.898459,0.1824,0.0424,20,0,True,False,True,False,False,False,True,False,False,True,False,False,True,False
49,64175.02,6,2023-09-09 20:45:56.898459,0.217,0.0383,20,5,False,False,False,False,False,True,False,False,True,False,False,False,False,False
32,86262.4,4,2023-12-21 20:45:56.898459,0.1728,0.0707,20,3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
33,25917.02,3,2023-10-05 20:45:56.898459,0.0347,0.0488,20,3,True,False,False,False,False,False,True,False,True,False,False,False,False,False
41,79881.45,6,2023-07-25 20:45:56.898459,0.077,0.0268,20,1,True,False,False,False,False,True,False,False,False,False,True,False,True,False
37,23818.88,2,2023-11-24 20:45:56.898459,0.2038,0.053,20,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False
56,84335.16,8,2024-01-03 20:45:56.898459,0.164,0.0777,20,2,True,False,False,False,False,False,True,False,True,False,False,False,False,False
46,14832.77,4,2023-11-22 20:45:56.898459,0.267,0.0492,20,2,True,False,False,True,False,False,True,False,False,True,False,False,False,False
36,56217.3,3,2023-09-07 20:45:56.898459,0.1816,0.0588,20,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False
41,18577.67,4,2024-04-17 20:45:56.898459,0.3894,0.034,20,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False
40,36197.15,5,2023-11-08 20:45:56.898459,0.0411,0.0336,20,2,False,False,True,False,False,False,True,False,False,False,True,False,False,True
57,29682.04,10,2023-12-07 20:45:56.898459,0.119,0.0538,20,3,False,False,False,False,False,False,True,False,False,False,True,False,False,False
31,58803.46,7,2023-06-19 20:45:56.898459,0.0919,0.0716,20,0,True,False,False,True,False,False,True,True,False,False,False,False,False,False
39,83984.08,2,2024-03-13 20:45:56.898459,0.2154,0.071,20,2,True,False,True,False,True,False,False,False,True,False,False,False,False,False
22,84372.99,5,2023-09-25 20:45:56.898459,0.1317,0.0536,20,0,True,False,True,False,True,False,False,False,True,False,False,False,False,True
44,64462.59,5,2023-10-20 20:45:56.898459,0.2373,0.1022,20,4,True,False,True,False,False,False,False,False,True,False,False,False,False,True
47,51481.84,4,2023-06-08 20:45:56.898459,0.0358,0.0543,20,3,False,False,False,True,True,False,False,False,False,True,False,False,False,False
23,43155.09,4,2023-11-24 20:45:56.898459,0.1346,0.0559,20,4,False,False,False,False,False,False,True,False,False,False,True,False,True,False
69,40065.86,1,2024-03-15 20:45:56.898459,0.2226,0.048,20,4,False,False,False,False,True,False,False,False,False,False,True,False,True,False
35,76422.96,8,2024-03-20 20:45:56.898459,0.3863,0.0466,20,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True
32,55448.78,6,2023-10-25 20:45:56.898459,0.5843,0.0777,20,2,True,False,True,False,True,False,False,False,False,True,False,False,True,False
