Age,Gender,Income,Location,Clicks,Conversion Rate,CTR,Click_Hour,Click_DayOfWeek,Click_Month,Ad Type_Banner,Ad Type_Native,Ad Type_Text,Ad Type_Video,Ad Topic_Fashion,Ad Topic_Finance,Ad Topic_Food,Ad Topic_Health,Ad Topic_Technology,Ad Topic_Travel,Ad Placement_Search Engine,Ad Placement_Social Media,Ad Placement_Website
61.0,1,35717.43,2,3,0.0981,0.0737,20,3,1,True,False,False,False,False,False,False,False,False,True,False,True,False
41.0,1,47453.25,0,5,0.0937,0.0592,20,0,4,False,False,False,True,False,False,False,False,False,True,True,False,False
49.0,0,68126.35,0,4,0.1912,0.0563,20,5,2,False,False,True,False,False,False,True,False,False,False,False,True,False
68.0,0,64585.73,1,6,0.1122,0.0232,20,2,12,False,False,True,False,False,False,False,True,False,False,False,False,True
63.0,1,21109.4,2,5,0.1426,0.0539,20,6,7,False,True,False,False,True,False,False,False,False,False,True,False,False
20.0,1,39576.44,1,5,0.1824,0.0424,20,0,2,False,False,False,True,False,False,False,True,False,False,False,True,False
49.0,0,64175.02,0,6,0.217,0.0383,20,5,9,False,False,True,False,False,False,True,False,False,False,True,False,False
32.0,0,86262.4,0,4,0.1728,0.0707,20,3,12,True,False,False,False,False,False,True,False,False,False,False,True,False
33.0,1,25917.02,0,3,0.0347,0.0488,20,3,10,False,False,False,True,False,False,True,False,False,False,True,False,False
41.0,1,79881.45,0,6,0.077,0.0268,20,1,7,False,False,True,False,False,False,False,False,True,False,False,True,False
37.0,1,23818.88,0,2,0.2038,0.053,20,4,11,True,False,False,False,False,False,True,False,False,False,True,False,False
56.0,1,84335.16,0,8,0.164,0.0777,20,2,1,False,False,False,True,False,False,True,False,False,False,True,False,False
46.0,1,14832.77,2,4,0.267,0.0492,20,2,11,False,False,False,True,False,False,False,True,False,False,True,False,False
36.0,1,56217.3,0,3,0.1816,0.0588,20,3,9,False,True,False,False,True,False,False,False,False,False,True,False,False
41.0,0,18577.67,1,4,0.3894,0.034,20,2,4,False,True,False,False,False,False,False,True,False,False,True,False,False
40.0,0,36197.15,1,5,0.0411,0.0336,20,2,11,False,False,False,True,False,False,False,False,True,False,False,False,True
